Código MP,Estoque,UND,Quarentena,Validade ¹,A UtilizarFEV,Sobra/FaltaFEV,UtilizarMAR,Sobra/FaltaMAR,UtilizarABR,Sobra/FaltaABR,A UtilizarMAI,Sobra/FaltaMAI,UtilizarJUN,Sobra/FaltaJUN,UtilizarJUL,Sobra/FaltaJUL,UtilizarAGO,Sobra/FaltaAGO,UtilizarSET,Sobra/FaltaSET,UtilizarOUT,Sobra/FaltaOUT,UtilizarNOV,Sobra/FaltaNOV,UtilizarDEZ,Sobra/FaltaDEZ,UtilizarJAN04,Sobra/FaltaJAN04,UtilizarFEV05,Sobra/FaltaFEV05,UtilizarMAR05,Sobra/FaltaMAR05,SimulacaoUtilizar,SimulacaoSobra/Falta
2254,"46,44",kg,0,31/10/24,0,"46,44",0,"46,44",0,"46,44",20,"26,44",0,"26,44",0,"26,44",0,"26,44",0,"26,44",0,"26,44",0,"26,44",0,"26,44",0,"26,44",0,"26,44",0,"26,44",0,"26,44"
2261,"0,535",kg,0,30/08/25,0,"0,535",0,"0,535",0,"0,535",0,"0,535",0,"0,535",0,"0,535",0,"0,535",0,"0,535",0,"0,535",0,"0,535",0,"0,535",0,"0,535",0,"0,535",0,"0,535","48,6","-48,065"
2298,"0,00",Kg,0,,0,"0,00",0,"0,00",0,"0,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2301,"624,1927",Kg,855,30/03/25,0,"1.479,19",0,"1.479,19",540,"939,193",840,"99,193",0,"99,193",0,"99,193",0,"99,193",0,"99,193",0,"99,193",0,"99,193",0,"99,193",0,"99,193",0,"99,193",0,"99,193","3.420,00","-3.320,81"
2307,"68,2819",Kg,"68,717",30/05/25,0,"136,999",13,"123,999","6,5","117,499","123,5","-6,001",0,"-6,001",0,"-6,001",0,"-6,001",0,"-6,001",0,"-6,001",0,"-6,001",0,"-6,001",0,"-6,001",0,"-6,001",0,"-6,001",520,"-526,001"
2314,"1.906,13",Kg,"2.200,00",30/12/24,"53,881","4.052,25","1.778,07","2.274,19","107,762","2.166,42","1.993,59","172,833",0,"172,833",0,"172,833",0,"172,833",0,"172,833",0,"172,833",0,"172,833",0,"172,833",0,"172,833",0,"172,833",0,"172,833","13.492,31","-13.319,48"
2325,0,Kg,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.451,15","-3.451,15"
2391,400,Kg,0,19/05/24,0,400,0,400,0,400,0,400,0,400,0,400,0,400,0,400,0,400,0,400,0,400,0,400,0,400,0,400,0,400
2392,125,Kg,0,19/05/24,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125
2013,"76,5764",Kg,0,04/11/24,"0,585","75,99","19,305","56,69","11,97","44,72","38,45","6,271",0,"6,271",0,"6,271",0,"6,271",0,"6,271",0,"6,271",0,"6,271",0,"6,271",0,"6,271",0,"6,271",0,"6,271","253,961","-247,69"
2016,"340,3734",L,0,11/01/25,"47,279","293,095","191,81","101,285","31,231","70,054","593,182","-523,129",0,"-523,129",0,"-523,129",0,"-523,129",0,"-523,129",0,"-523,129",0,"-523,129",0,"-523,129",0,"-523,129",0,"-523,129",0,"-523,129","3.149,07","-3.672,19"
2020,"678,9968",Kg,475,08/07/24,"10,015","1.143,98","330,502","813,48","366,71","446,77","925,442","-478,673",0,"-478,673",0,"-478,673",0,"-478,673",0,"-478,673",0,"-478,673",0,"-478,673",0,"-478,673",0,"-478,673",0,"-478,673",0,"-478,673","4.703,55","-5.182,22"
2022,"533,0586",Kg,"1.100,00",29/07/25,"13,113","1.619,95","493,581","1.126,36","56,647","1.069,72","1.063,17","6,543",0,"6,543",0,"6,543",0,"6,543",0,"6,543",0,"6,543",0,"6,543",0,"6,543",0,"6,543",0,"6,543",0,"6,543","5.717,32","-5.710,78"
2058,"23,0113",Kg,20,22/01/26,"2,009","41,002","14,479","26,524","0,878","25,646","16,234","9,412",0,"9,412",0,"9,412",0,"9,412",0,"9,412",0,"9,412",0,"9,412",0,"9,412",0,"9,412",0,"9,412",0,"9,412","103,177","-93,765"
2068,"106,9215",Kg,0,17/07/24,"1,463","105,459","52,943","52,517","26,865","25,652","132,373","-106,721",0,"-106,721",0,"-106,721",0,"-106,721",0,"-106,721",0,"-106,721",0,"-106,721",0,"-106,721",0,"-106,721",0,"-106,721",0,"-106,721","690,225","-796,946"
2074,"214,8681",Kg,225,21/07/26,"5,85","434,018","193,05","240,968","11,7","229,268","216,45","12,818",0,"12,818",0,"12,818",0,"12,818",0,"12,818",0,"12,818",0,"12,818",0,"12,818",0,"12,818",0,"12,818",0,"12,818","1.464,90","-1.452,08"
