Código,Unidade,Quantidade,Custo Unit.,Custo Total
2298,kg,"95,29","R$ 1.906,84","R$ 181.710,41"
2301,kg,"1.864,33","R$ 2.241,49","R$ 4.178.868,09"
2307,kg,"192,29","R$ 6.057,00","R$ 1.164.694,47"
2314,kg,"5.813,15","R$ 1.071,00","R$ 6.225.879,37"
2013,kg,"96,58","R$ 108,08","R$ 10.438,69"
2020,kg,"1.179,78","R$ 6,38","R$ 7.527,00"
2022,kg,"2.820,04","R$ 35,93","R$ 101.324,00"
2058,kg,"9,56","R$ 76,30","R$ 729,73"
2068,kg,"24,93","R$ 46,54","R$ 1.160,01"
2074,kg,"98,07","R$ 40,34","R$ 3.955,94"
2108,kg,"71,35","R$ 76,21","R$ 5.437,66"
2188,kg,0,"R$ 153,33","R$ 0,00"
2232,kg,"159,98","R$ 331,28","R$ 52.999,17"
2242,kg,"306,71","R$ 31,20","R$ 9.569,35"
2266,kg,"4.253,14","R$ 31,96","R$ 135.930,35"
2297,kg,"139,07","R$ 26,52","R$ 3.688,03"
2302,kg,"0,38","R$ 420,00","R$ 158,76"
2304,kg,"16,55","R$ 152,05","R$ 2.515,97"
2305,kg,"3.232,41","R$ 45,00","R$ 145.458,23"
2309,kg,"144,68","R$ 214,89","R$ 31.089,21"
2311,kg,"112,1","R$ 252,80","R$ 28.339,13"
11317,und,0,"R$ 9,52","R$ 0,00"
11580,und,45,"R$ 4,08","R$ 183,60"
11744,und,0,"R$ 0,49","R$ 0,00"
11747,mh,0,"R$ 120,00","R$ 0,00"
11816,kg,"2.042,22","R$ 15,85","R$ 32.369,19"
11819,kg,0,"R$ 95,45","R$ 0,00"
11843,kg,"133,01","R$ 85,62","R$ 11.388,32"
11844,und,"111.395,00","R$ 0,10","R$ 11.139,50"
11845,Und,"16.558,00","R$ 0,10","R$ 1.728,66"
11846,Und,0,"R$ 4,80","R$ 0,00"
11847,mh,0,"R$ 84,53","R$ 0,00"
11853,mh,"1,6","R$ 59,00","R$ 94,22"
11854,mh,"0,13","R$ 30,48","R$ 4,05"
11856,mh,"114,46","R$ 87,00","R$ 9.957,76"
11867,und,"93.314,00","R$ 0,11","R$ 10.264,54"
11868,und,"220.275,00","R$ 0,12","R$ 26.433,00"
11870,und,"30.328,00","R$ 0,14","R$ 4.245,92"
11871,und,"119.796,00","R$ 0,13","R$ 15.573,48"
11872,mh,"1.171,58","R$ 105,38","R$ 123.460,68"
11873,mh,"864,65","R$ 118,00","R$ 102.028,46"
11875,kg,"549,46","R$ 85,50","R$ 46.978,40"
11876,kg,"126,79","R$ 85,12","R$ 10.791,94"
11877,kg,"318,34","R$ 84,44","R$ 26.880,21"
11885,kg,"5.644,49","R$ 91,50","R$ 516.470,84"
11886,kg,"2.063,50","R$ 91,50","R$ 188.810,25"
11887,kg,"1.338,24","R$ 84,81","R$ 113.496,13"
11888,kg,"113,31","R$ 84,05","R$ 9.523,71"
11889,und,"10.431,00","R$ 1,37","R$ 14.290,47"
11890,und,"28.736,00","R$ 1,30","R$ 37.356,80"
11891,und,"10.091,00","R$ 1,20","R$ 12.109,20"
11892,mh,"2,29","R$ 74,00","R$ 169,39"
11893,mh,"2,85","R$ 64,00","R$ 182,27"
11894,mh,"2,54","R$ 69,00","R$ 175,54"
11897,mh,"5,2","R$ 69,00","R$ 358,80"
11902,mh,0,"R$ 42,19","R$ 0,00"
11903,mh,0,"R$ 48,81","R$ 0,00"
11907,mh,0,"R$ 297,00","R$ 0,00"
11910,mh,0,"R$ 134,11","R$ 0,00"
11911,mh,0,"R$ 166,00","R$ 0,00"
11913,mh,0,"R$ 77,00","R$ 0,00"
Total,Total,"676.094,00","R$ 15.797,94","R$ 13.617.938,89"
